""	"Vimss.ID"	"Upstream"	"X"	"X.1"	"X.2"	"Synonymous"	"X.3"	"X.4"	"X.5"	"Nonsynonymous"	"X.6"	"X.7"	"X.8"	"Downstream"	"X.9"	"X.10"	"X.11"	"EC.numbers"	"Names.of.metabolites"	"Log2.ratio"	"p.value"	"SD.test"	"SD.ref"	"TF.binding.sites"	"Sigma.sites"	"Is.mapped.to.ortholog"	"Max.ratio"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"
"1"	3474544	0	0	0	0	3	8	3	5	0	0	0	0	0	0	0	0	"3.5.1.18"	"2,6-diaminopimelic acid"	"-1.83131119302084"	"0.425358231350272"	"0.00380598575446093"	"0.0236055585948159"	""	""	"yes"	-1.83131119302084	"16571"	"0"	"0"	"0"	"0"	"4"	"4"	"8"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3.5.1.18"	"2,6-diaminopimelic acid"	"1.83131119302084"	"0.425358231350272"	"0.0236055585948159"	"0.00380598575446093"	""	" , Sigma70"	"yes"	"1.83131119302084"
"2"	3475987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"5.1.1.7"	"2,6-diaminopimelic acid"	"-1.83131119302084"	"0.425358231350272"	"0.00380598575446093"	"0.0236055585948159"	""	" , Sigma70"	"yes"	-1.83131119302084	"17858"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"5.1.1.7"	"2,6-diaminopimelic acid"	"1.83131119302084"	"0.425358231350272"	"0.0236055585948159"	"0.00380598575446093"	""	" , Sigma70"	"yes"	"1.83131119302084"
"3"	3472115	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	"3.2.2.16,3.2.2.9"	"adenine , adenine"	"-1.09311558495539 , -1.09311558495539"	"0.413675160607389 , 0.413675160607389"	"0.0130140122278509 , 0.0130140122278509"	"0.0407441325050659 , 0.0407441325050659"	""	""	"yes"	1.09311558495539	"14305"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3.2.2.16,3.2.2.9"	"adenine , adenine"	"1.09311558495539 , 1.09311558495539"	"0.413675160607389 , 0.413675160607389"	"0.0407441325050659 , 0.0407441325050659"	"0.0130140122278509 , 0.0130140122278509"	""	""	"yes"	"1.09311558495539"
"4"	3474826	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	"3.1.3.5,3.1.3.6,3.6.1.11"	"adenosine-5-monophosphate , phosphoric acid , phosphoric acid"	"0.364876166016188 , -0.688589475140754 , -0.688589475140754"	"0.766081697680536 , 0.218766561334181 , 0.218766561334181"	"0.0567574552244345 , 0.0101369418270666 , 0.0101369418270666"	"0.0443540520619505 , 0.0166613353448738 , 0.0166613353448738"	""	""	"yes"	0.688589475140754	"16828"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3.1.3.5,3.1.3.6"	"adenosine-5-monophosphate , phosphoric acid"	"-0.364876166016188 , 0.688589475140754"	"0.766081697680536 , 0.218766561334181"	"0.0443540520619505 , 0.0166613353448738"	"0.0567574552244345 , 0.0101369418270666"	""	" , Sigma70"	"yes"	"0.688589475140754"
"5"	3473706	0	0	0	0	3	3	1	7	0	0	0	0	0	0	0	0	"2.8.1.7,4.4.1.16"	"alanine , alanine"	"-0.839518558472077 , -0.839518558472077"	"0.538602230774412 , 0.538602230774412"	"0.0169472344426012 , 0.0169472344426012"	"0.01790131470869 , 0.01790131470869"	" , Fur , IHF , IscR , NsrR , OxyR"	""	"yes"	0.839518558472077	"15799"	"0"	"0"	"0"	"0"	"6"	"1"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2.8.1.7,4.4.1.16"	"alanine , alanine"	"0.839518558472077 , 0.839518558472077"	"0.538602230774412 , 0.538602230774412"	"0.01790131470869 , 0.01790131470869"	"0.0169472344426012 , 0.0169472344426012"	" , Fur , IHF , IscR , NsrR , OxyR"	" , Sigma70"	"yes"	"0.839518558472077"
"6"	3472087	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	"4.1.1.11"	"beta-alanine"	"-1.76932561389181"	"0.352431087783699"	"0.000593284011040723"	"0.00640582869042602"	""	""	"yes"	-1.76932561389181	"14277"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4.1.1.11"	"beta-alanine"	"1.76932561389181"	"0.352431087783699"	"0.00640582869042602"	"0.000593284011040723"	""	""	"yes"	"1.76932561389181"
"7"	3474210	0	0	0	0	6	0	4	4	0	0	0	0	1	1	0	0	"3.2.1.21"	"cellobiose"	"-0.484581332884924"	"0.556729652291301"	"0.00242661690259573"	"0.00567182160847627"	""	" , Sigma70"	"yes"	-0.484581332884924	"16240"	"0"	"0"	"0"	"0"	"4"	"3"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"3.2.1.21"	"cellobiose"	"0.484581332884923"	"0.556729652291301"	"0.00567182160847627"	"0.00242661690259573"	""	" , Sigma70"	"yes"	"0.484581332884923"
"8"	3473642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"4.4.1.8"	"cystathionine 4TMS NIST"	"0.0156694562658837"	"0.943791871045374"	"0.00431835043576245"	"0.00187331823608576"	" , CRP , MalI"	" , Sigma70"	"yes"	0.0156694562658837	"15743"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	"0"	"0"	"0"	"0"	" , CRP , MalI"	" , Sigma70"	"yes"	"0"
"9"	3475137	0	1	0	0	2	1	4	7	0	0	0	0	2	0	0	0	"4.4.1.8"	"cystathionine 4TMS NIST"	"0.0156694562658837"	"0.943791871045374"	"0.00431835043576245"	"0.00187331823608576"	" , MetJ"	""	"yes"	0.0156694562658837	"17085"	"0"	"0"	"1"	"0"	"8"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"4.4.1.8"	"cystathionine 4TMS NIST"	"-0.0156694562658838"	"0.943791871045374"	"0.00187331823608576"	"0.00431835043576245"	" , MetJ"	" , Sigma70"	"yes"	"-0.0156694562658838"
"10"	3476125	0	0	0	0	1	5	8	1	0	0	0	0	0	0	0	0	"2.5.1.48"	"cystathionine 4TMS NIST"	"0.0156694562658837"	"0.943791871045374"	"0.00431835043576245"	"0.00187331823608576"	" , MetJ , PhoP , YjiE"	""	"yes"	0.0156694562658837	"17978"	"0"	"0"	"0"	"0"	"1"	"6"	"6"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2.5.1.48"	"cystathionine 4TMS NIST"	"-0.0156694562658838"	"0.943791871045374"	"0.00187331823608576"	"0.00431835043576245"	" , MetJ , PhoP , YjiE"	" , Sigma70"	"yes"	"-0.0156694562658838"
