"3471954"	"0"
"3471955"	"43"
"3471956"	"14"
"3471957"	"13"
"3471958"	"4"
"3471959"	"6"
"3471960"	"19"
"3471961"	"7"
"3471962"	"5"
"3471963"	"0"
"3471964"	"11"
"3471965"	"9"
"3471966"	"9"
"3471967"	"16"
"3471968"	"10"
"3471969"	"17"
"3471970"	"14"
"3471971"	"28"
"3471972"	"3"
"3471973"	"3"
"3471974"	"0"
"3471975"	"0"
"3471976"	"0"
"3471977"	"2"
"3471978"	"1"
"3471979"	"9"
"3471980"	"26"
"3471981"	"3"
"3471982"	"2"
"3471983"	"22"
"3471984"	"33"
"3471985"	"17"
"3471986"	"5"
"3471987"	"17"
"3471988"	"70"
"3471989"	"2"
"3471990"	"7"
"3471991"	"7"
"3471992"	"11"
"3471993"	"30"
"3471994"	"16"
"3471995"	"8"
"3471996"	"9"
"3471997"	"0"
"3471998"	"10"
"3471999"	"4"
"3472000"	"5"
"3472001"	"23"
"3472002"	"2"
"3472003"	"19"
"3472004"	"4"
"3472005"	"4"
"3472006"	"5"
"3472007"	"18"
"3472008"	"1"
"3472009"	"7"
"3472010"	"26"
"3472011"	"7"
"3472012"	"2"
"3472013"	"5"
"3472014"	"5"
"3472015"	"6"
"3472016"	"47"
"3472017"	"0"
"3472018"	"26"
"3472019"	"22"
"3472020"	"10"
"3472021"	"28"
"3472022"	"31"
"3472023"	"58"
"3472024"	"29"
"3472025"	"2"
"3472026"	"16"
"3472027"	"8"
"3472028"	"6"
"3472029"	"8"
"3472030"	"12"
"3472031"	"24"
"3472032"	"0"
"3472033"	"8"
"3472034"	"4"
"3472035"	"24"
"3472036"	"5"
"3472037"	"2"
"3472038"	"12"
"3472039"	"11"
"3472040"	"10"
"3472041"	"2"
"3472042"	"9"
"3472043"	"12"
"3472044"	"5"
"3472045"	"0"
"3472046"	"0"
"3472047"	"0"
"3472048"	"1"
"3472049"	"16"
"3472050"	"9"
"3472051"	"5"
"3472052"	"3"
"3472053"	"0"
"3472054"	"0"
"3472055"	"2"
"3472056"	"21"
"3472057"	"8"
"3472058"	"1"
"3472059"	"1"
"3472060"	"1"
"3472061"	"16"
"3472062"	"18"
"3472063"	"7"
"3472064"	"0"
"3472065"	"1"
"3472066"	"0"
