""	""	""	""	"howmuch"
"1"	3471969	16648	17815	0.974820143884892
"2"	3471973	25024	25791	0.822849807445443
"3"	3472012	63569	65077	0.640611724723874
"4"	3472091	158469	162174	0.608320251177394
"5"	3472185	291246	292004	0.625954198473282
"6"	3472197	369543	415822	0.833529273454032
"7"	3472263	424154	425391	0.566651397159872
"8"	3472318	508545	509880	1
"9"	3472466	654809	662104	1
"10"	3472505	696805	718106	1
"11"	3472528	723208	729695	0.733236151603499
"12"	3472609	811892	819864	1
"13"	3472621	824240	825438	0.815689981096408
"14"	3472653	856136	858057	0.849118942731278
"15"	3472655	858696	861794	0.558102345415778
"16"	3473124	1360269	1361581	0.701086956521739
"17"	3473145	1376250	1391453	0.913669064748201
"18"	3473361	1592746	1615805	1
"19"	3473464	1709543	1713306	0.531545741324921
"20"	3473555	1831425	1834493	1
"21"	3473562	1841693	1844875	1
"22"	3473565	1844972	1850176	1
"23"	3473571	1851544	1855853	1
"24"	3473701	1982267	1988258	1
"25"	3473915	2184602	2185377	0.704545454545455
"26"	3473951	2220888	2223193	1
"27"	3473982	2243839	2244136	0.539019963702359
"28"	3473983	2245192	2246456	1
"29"	3474024	2297264	2298462	1
"30"	3474026	2312944	2315179	0.586258776328987
"31"	3474030	2317897	2322509	0.95383275261324
"32"	3474051	2357645	2358862	1
"33"	3474056	2373524	2392690	1
"34"	3474080	2394551	2408105	1
"35"	3474096	2410971	2411432	0.559466019417476
"36"	3474097	2413711	2413978	0.590551181102362
"37"	3474099	2417654	2418089	1
"38"	3474127	2447553	2448181	0.732079905992949
"39"	3474130	2450535	2451795	0.702732849972114
"40"	3474232	2569361	2570559	0.569060773480663
"41"	3474397	2748181	2758395	0.807865168539326
"42"	3474446	2797346	2798509	0.756176853055917
"43"	3474450	2805076	2809465	0.883842794759825
"44"	3474488	2843515	2850304	0.505707196029777
"45"	3474678	3059527	3081556	1
"46"	3474698	3085890	3092101	1
"47"	3474930	3317808	3319139	1
"48"	3475011	3401030	3401648	0.7146529562982
"49"	3475067	3470929	3472125	0.727533460803059
"50"	3475121	3526878	3528213	1
"51"	3475308	3710317	3717398	1
"52"	3475597	3985767	3990238	0.593378607809847
"53"	3475620	4006451	4007649	0.99496644295302
"54"	3475652	4040982	4053788	1
"55"	3475725	4117809	4120581	0.985887096774194
"56"	3475753	4154469	4155735	0.952302631578947
"57"	3475758	4163590	4168106	1
"58"	3475762	4169728	4172013	0.965156794425087
"59"	3475817	4224957	4229614	1
"60"	3475941	4354566	4356144	0.771891891891892
"61"	3475969	4386854	4386988	0.896103896103896
"62"	3476023	4441236	4449327	0.875281743050338
"63"	3476031	4454457	4458197	1
"64"	3476243	4685414	4685979	0.541706615532119
"65"	3476253	4696547	4703178	1
"66"	3476366	4826531	4827506	1
"67"	3476378	4840099	4841329	0.670487106017192
"68"	3476441	4910483	4950244	1
"69"	3476515	4989081	5005091	0.798436142484796
"70"	3476567	5050753	5052083	1
