locusId	orth511145.locusId
3471954	14146
3471955	14147
3471956	14148
3471957	14149
3471958	
3471959	14151
3471960	14152
3471961	14153
3471962	14154
3471963	14155
3471964	14156
3471965	14158
3471966	
3471967	14159
3471968	14160
3471969	
3471970	
3471971	14164
3471972	14165
3471973	
3471974	
3471975	
3471976	
3471977	14168
3471978	14169
3471979	14170
3471980	14171
3471981	14172
3471982	
3471983	14174
3471984	14175
3471985	14176
3471986	
3471987	14177
3471988	14178
3471989	
3471990	14180
3471991	14181
3471992	14182
3471993	14183
3471994	14184
3471995	14185
3471996	14186
3471997	
3471998	
3471999	14187
3472000	14188
3472001	14189
3472002	14190
3472003	14191
3472004	14192
3472005	14193
3472006	14194
3472007	14195
3472008	14196
3472009	14197
3472010	14198
3472011	14199
3472012	14200
3472013	14201
3472014	14204
3472015	14205
3472016	14206
3472017	14207
3472018	14208
3472019	14209
3472020	14210
3472021	14211
3472022	14212
3472023	14213
3472024	14214
3472025	
3472026	14215
3472027	1936207
3472028	14217
3472029	14218
3472030	14219
3472031	14220
3472032	14221
3472033	14222
3472034	
3472035	1936210
3472036	14224
3472037	
3472038	14226
3472039	14227
3472040	14228
3472041	14229
3472042	14230
3472043	14231
3472044	14232
3472045	
3472046	14234
3472047	14235
3472048	14236
3472049	14237
3472050	14238
3472051	14239
3472052	14240
3472053	14241
3472054	14242
3472055	14243
3472056	14244
3472057	14245
3472058	14247
3472059	14248
3472060	14249
3472061	14250
3472062	14252
3472063	14253
3472064	
3472065	14255
3472066	14256
3472067	14257
3472068	14258
3472069	14259
3472070	14260
3472071	14261
3472072	14262
3472073	14263
3472074	14264
3472075	14265
3472076	14266
3472077	14267
3472078	14268
3472079	14269
3472080	14270
3472081	14271
3472082	14272
3472083	14273
3472084	14274
3472085	14275
3472086	14276
3472087	14277
3472088	14278
3472089	14279
3472090	14280
3472091	
3472092	14282
3472093	
3472094	
3472095	14286
3472096	
3472097	14288
3472098	14289
3472099	14290
3472100	14291
3472101	14292
3472102	14293
3472103	14294
3472104	14295
3472105	
3472106	14296
3472107	14297
3472108	14298
3472109	14299
3472110	14300
3472111	14301
3472112	14302
3472113	14303
3472114	14304
3472115	14305
3472116	14306
3472117	14307
3472118	14308
3472119	14309
3472120	14312
3472121	14313
3472122	14314
3472123	
3472124	14315
3472125	14316
3472126	14317
3472127	14318
3472128	14319
3472129	14320
3472130	14321
3472131	14322
3472132	14323
3472133	14324
3472134	14325
3472135	14326
3472136	14327
3472137	14328
3472138	14329
3472139	14330
3472140	14331
3472141	14332
3472142	14333
3472143	14334
3472144	14335
3472145	1936225
3472146	14336
3472147	14337
3472148	14338
3472149	
3472150	14339
3472151	14340
3472152	14341
3472153	14342
3472154	14343
3472155	14344
3472156	14345
3472157	14346
3472158	
3472159	
3472160	
3472161	
3472162	
3472163	
3472164	14347
3472165	14348
3472166	14349
3472167	14350
3472168	14351
3472169	14352
3472170	14353
3472171	14354
3472172	14355
3472173	
3472174	
3472175	14356
3472176	
3472177	
3472178	
3472179	
3472180	
3472181	
3472182	
3472183	
3472184	
3472185	
3472186	
3472187	
3472188	
3472189	
3472190	
3472191	
3472192	
3472193	
3472194	
3472195	
3472196	
3472197	
3472198	
3472199	
3472200	14358
3472201	14359
3472202	14360
3472203	14361
3472204	14362
3472205	14363
3472206	14364
3472207	14365
3472208	14366
3472209	
3472210	
3472211	14368
3472212	
3472213	14370
3472214	14373
3472215	
3472216	14375
3472217	14376
3472218	14377
3472219	14378
3472220	14379
3472221	14380
3472222	14381
3472223	14382
3472224	
3472225	
3472226	
3472227	
3472228	
3472229	
3472230	
3472231	
3472232	
3472233	
3472234	
3472235	
3472236	
3472237	
3472238	
3472239	
3472240	
3472241	
3472242	
3472243	
3472244	
3472245	
3472246	
3472247	
3472248	
3472249	
3472250	
3472251	
3472252	
3472253	14686
3472254	
3472255	
3472256	
3472257	
3472258	
3472259	
3472260	
3472261	
3472262	
3472263	
3472264	
3472265	
3472266	
3472267	
3472268	
3472269	
3472270	
3472271	
3472272	
3472273	
3472274	
3472275	
3472276	
3472277	
3472278	
3472279	
3472280	
3472281	
3472282	
3472283	
3472284	
3472285	
3472286	
3472287	
3472288	
3472289	
3472290	
3472291	
3472292	
3472293	
3472294	
3472295	
3472296	
3472297	
3472298	
3472299	
3472300	14432
3472301	1936249
3472302	14434
3472303	
3472304	
3472305	
3472306	14439
3472308	14442
3472309	
3472310	14443
3472311	14444
3472312	14445
3472313	14446
3472314	14448
3472315	
3472316	
3472317	
3472318	
3472319	
3472320	
3472321	
3472322	14449
3472323	14450
3472324	14451
3472325	14452
3472326	
3472327	14453
3472328	14454
3472329	14455
3472330	
3472331	14456
3472332	14457
3472333	14458
3472334	14459
3472335	14461
3472336	14462
3472337	
3472338	
3472339	
3472340	
3472341	
3472342	14463
3472343	14464
3472344	
3472346	14465
3472347	14466
3472348	14467
3472349	14468
3472350	14469
3472351	14471
3472352	14472
3472353	14473
3472354	14474
3472355	14475
3472356	14476
3472357	14477
3472358	14478
3472359	14479
3472360	14481
3472361	14482
3472362	14483
3472363	14484
3472364	14485
3472365	14486
3472366	14487
3472367	14488
3472368	14489
3472369	14490
3472370	14491
3472371	14492
3472372	
3472373	14493
3472374	14494
3472375	
3472376	14496
3472377	
3472378	14501
3472379	14502
3472380	
3472381	
3472382	14503
3472383	14504
3472384	14505
3472385	14506
3472386	14507
3472387	
3472388	
3472389	
3472390	
3472391	14513
3472392	14514
3472393	
3472394	
3472395	14515
3472396	14516
3472397	14517
3472398	14518
3472399	14519
3472400	
3472401	
3472402	14520
3472403	14521
3472404	
3472405	14523
3472406	14524
3472407	14525
3472408	14526
3472409	14527
3472410	14528
3472411	
3472412	14530
3472413	14531
3472414	14532
3472415	14534
3472416	14535
3472417	14536
3472418	
3472419	14537
3472420	14538
3472421	
3472422	
3472423	14539
3472424	14540
3472425	14541
3472426	14542
3472427	14543
3472428	14544
3472429	14545
3472430	14546
3472431	14547
3472432	14548
3472433	
3472434	14549
3472435	14550
3472436	14551
3472437	14552
3472438	14553
3472439	14554
3472440	14555
3472441	14556
3472442	14557
3472443	14558
3472444	14559
3472445	14560
3472446	
3472447	14561
3472448	14562
3472449	14563
3472450	14564
3472451	14565
3472452	
3472453	
3472454	
3472455	14566
3472456	14567
3472457	14568
3472458	14569
3472459	14570
3472460	14571
3472461	14572
3472462	
3472463	14573
3472464	
3472465	14574
3472466	14575
3472467	14576
3472468	14577
3472469	14578
3472470	14579
3472471	14580
3472472	14581
3472473	14582
3472474	14583
3472475	14584
3472476	14585
3472477	14586
3472478	14587
3472479	14588
3472480	14589
3472481	14590
3472482	14591
3472483	14592
3472484	
3472485	14593
3472486	14594
3472487	14595
3472488	14596
3472489	14597
3472490	14598
3472491	14599
3472492	14600
3472493	14601
3472494	14602
3472495	
3472496	14603
3472497	14604
3472498	14605
3472499	14606
3472500	14607
3472501	14608
3472502	14609
3472503	14610
3472504	14611
3472505	14612
3472506	14613
3472507	14614
3472508	14615
3472509	14616
3472510	14617
3472511	14618
3472512	
3472513	14619
3472514	14620
3472515	
3472516	
3472517	
3472518	14622
3472519	14623
3472520	14624
3472521	14625
3472522	14626
3472523	14627
3472524	14628
3472525	14629
3472526	14630
3472527	14631
3472528	14632
3472529	14633
3472530	14640
3472531	14641
3472532	14642
3472533	14643
3472534	14644
3472535	14645
3472536	14646
3472537	14648
3472538	14649
3472539	14650
3472540	14651
3472541	
3472542	14652
3472543	14653
3472544	14654
3472545	14655
3472546	
3472547	14657
3472548	14658
3472549	
3472550	14659
3472551	14660
3472552	14661
3472553	14662
3472554	
3472555	14664
3472556	14666
3472557	14667
3472558	
3472559	14668
3472560	14669
3472561	14670
3472562	14671
3472563	14672
3472564	
3472565	
3472566	
3472567	
3472568	
3472569	14706
3472570	
3472571	14708
3472572	
3472573	
3472574	
3472575	14712
3472576	
3472577	14714
3472578	
3472579	14716
3472580	14717
3472581	
3472582	
3472583	14719
3472584	14720
3472585	
3472586	
3472587	
3472588	
3472589	
3472590	
3472591	
3472592	
3472593	14726
3472594	
3472595	
3472596	
3472597	
3472598	
3472599	
3472600	
3472601	
3472602	
3472603	
3472604	
3472605	
3472606	14739
3472607	
3472608	
3472609	
3472610	
3472611	14744
3472612	14745
3472613	
3472614	14748
3472615	
3472616	
3472617	14751
3472618	
3472619	
3472620	
3472621	
3472622	14756
3472623	
3472624	
3472625	
3472626	
3472627	14760
3472628	14761
3472629	
3472630	
3472631	
3472632	
3472633	
3472634	
3472635	
3472636	
3472637	
3472638	
3472639	
3472640	
3472641	
3472642	14775
3472643	
3472644	14777
3472645	
3472646	14779
3472647	14780
3472648	14788
3472649	
3472650	14790
3472651	
3472652	
3472653	14792
3472654	
3472655	
3472656	14794
3472657	14795
3472658	14796
3472659	14797
3472660	14798
3472661	14799
3472662	
3472663	
3472664	
3472665	
3472666	
3472667	
3472668	
3472669	14804
3472670	
3472671	14805
3472672	14806
3472673	14807
3472674	14808
3472675	14809
3472676	
3472677	14810
3472678	
3472679	
3472680	14812
3472681	14813
3472682	14814
3472683	14815
3472684	14816
3472685	14817
3472686	14818
3472687	
3472688	14819
3472689	
3472690	
3472691	
3472692	14826
3472693	14827
3472694	14828
3472695	14829
3472696	14830
3472697	
3472698	14832
3472699	
3472700	
3472701	14836
3472702	
3472703	
3472704	14838
3472705	14839
3472706	14840
3472707	
3472708	14841
3472709	14842
3472710	14843
3472711	14844
3472712	14845
3472713	14846
3472714	14847
3472715	14848
3472716	14849
3472717	14850
3472718	14851
3472719	14852
3472720	14853
3472721	14854
3472722	14855
3472723	14856
3472724	14858
3472725	14859
3472726	14860
3472727	14861
3472728	14862
3472729	14863
3472730	
3472731	
3472732	
3472733	
3472734	
3472735	
3472736	14865
3472737	14866
3472738	1936336
3472739	14867
3472740	14868
3472741	14869
3472742	14870
3472743	
3472744	
3472745	14873
3472746	14874
3472747	
3472748	
3472749	
3472750	
3472751	
3472752	
3472753	
3472754	14875
3472755	14876
3472756	14877
3472757	14878
3472758	14879
3472759	14880
3472760	14881
3472761	14882
3472762	14883
3472763	14884
3472764	14885
3472765	14886
3472766	14887
3472767	14888
3472768	14889
3472769	14890
3472770	14891
3472771	14892
3472772	
3472773	14894
3472774	14895
3472775	14896
3472776	14897
3472777	14898
3472778	14899
3472779	14900
3472780	14901
3472781	14902
3472782	14903
3472783	14904
3472784	14905
3472785	14906
3472786	14907
3472787	14908
3472788	14909
3472789	14910
3472790	14911
3472791	14912
3472792	14913
3472793	14914
3472794	14915
3472795	14916
3472796	14917
3472797	14918
3472798	14919
3472799	14920
3472800	14921
3472801	14922
3472802	
3472803	14923
3472804	14924
3472805	14925
3472806	14926
3472807	14927
