"3474544"	"19"
"3472115"	"1"
"3474597"	"18"
"3474826"	"1"
"3473706"	"14"
"3472985"	"3"
"3472087"	"3"
"3473177"	"4"
"3474210"	"16"
"3475137"	"15"
"3476125"	"15"
"3472990"	"10"
"3475600"	"14"
"3476468"	"41"
"3473154"	"48"
"3474519"	"14"
"0"	"0"
"3475602"	"21"
"3476392"	"26"
"3475710"	"3"
"3476476"	"6"
"3473098"	"4"
"3474325"	"1"
"3474326"	"33"
"3475578"	"4"
"3471956"	"14"
"3474434"	"55"
"3476201"	"14"
"3475940"	"22"
"3475772"	"2"
"3474291"	"9"
"3474534"	"1"
"3473132"	"16"
"3473797"	"3"
"3476143"	"23"
"3476462"	"42"
"3475806"	"18"
"3472481"	"1"
"3473308"	"3"
"3474351"	"9"
"3474102"	"29"
"3474699"	"14"
"3476128"	"1"
"3473239"	"2"
"3476018"	"38"
"3473154"	"48"
"3476392"	"26"
"3475948"	"1"
"3476568"	"24"
"3472406"	"2"
"3473077"	"80"
"3476084"	"19"
"3476350"	"13"
"3471957"	"13"
"3475783"	"27"
"3472355"	"9"
"3472218"	"3"
"3474974"	"1"
"3474991"	"6"
