locusId	accession	GI	scaffoldId	start	stop	strand	sysName	name	COG	COGFun	EC
3471954	YP_001456786.1	157159468	57075	190	255	+	EcHS_A0002	thrL			
3471955	YP_001456787.1	157159469	57075	336	2798	+	EcHS_A0003	thrA	COG527	E	"1.1.1.3,2.7.2.4"
3471956	YP_001456788.1	157159470	57075	2800	3732	+	EcHS_A0004	thrB	COG83	E	2.7.1.39
3471957	YP_001456789.1	157159471	57075	3733	5019	+	EcHS_A0005	thrC	COG498	E	4.2.3.1
3471958	YP_001456790.1	157159472	57075	5719	5309	-	EcHS_A0006	EcHS_A0006			
3471959	YP_001456791.1	157159473	57075	6458	5682	-	EcHS_A0007	EcHS_A0007	COG3022	S	
3471960	YP_001456792.1	157159474	57075	7958	6528	-	EcHS_A0008	agcS	COG1115	E	
3471961	YP_001456793.1	157159475	57075	8237	9190	+	EcHS_A0009	tal2	COG176	G	2.2.1.2
3471962	YP_001456794.1	157159476	57075	9305	9892	+	EcHS_A0010	mog	COG521	H	
3471963	YP_001456795.1	157159477	57075	10493	9927	-	EcHS_A0011	EcHS_A0011	COG1584	S	
3471964	YP_001456796.1	157159478	57075	11355	10642	-	EcHS_A0012	EcHS_A0012	COG4735	S	
3471965	YP_001456797.1	157159479	57075	11785	11381	-	EcHS_A0013	EcHS_A0013			
3471966	YP_001456798.1	157159480	57075	12069	11920	-	EcHS_A0014	EcHS_A0014			
3471967	YP_001456799.1	157159481	57075	12162	14078	+	EcHS_A0015	dnaK	COG443	O	
3471968	YP_001456800.1	157159482	57075	14167	15297	+	EcHS_A0016	dnaJ	COG484	O	
3471969	YP_001456801.1	157159483	57075	16672	15560	-	EcHS_A0017	EcHS_A0017			
3471970	YP_001456802.1	157159484	57075	16959	16750	-	EcHS_A0018	EcHS_A0018			
3471971	YP_001456803.1	157159485	57075	17488	18654	+	EcHS_A0019	nhaA	COG3004	P	
3471972	YP_001456804.1	157159486	57075	18720	19619	+	EcHS_A0020	nhaR	COG583	K	
3471973	YP_001456805.1	157159487	57075	20437	19658	-	EcHS_A0021	EcHS_A0021			
3471974			57075	21774	20629	-	EcHS_A0023	EcHS_A0023			
3471975	YP_001456806.1	157159488	57075	22770	22207	-	EcHS_A4640	EcHS_A4640			
3471976	YP_001456807.1	157159489	57075	23627	22812	-	EcHS_A0024	EcHS_A0024			
3471977	YP_001456808.1	157159490	57075	24374	24111	-	EcHS_A0025	rpsT	COG268	J	
3471978	YP_001456809.1	157159491	57075	24477	24695	+	EcHS_A0026	EcHS_A0026			
3471979	YP_001456810.1	157159492	57075	24703	25644	+	EcHS_A0027	ribF	COG196	H	"2.7.1.26,2.7.7.2"
3471980	YP_001456811.1	157159493	57075	25687	28503	+	EcHS_A0028	ileS	COG60	J	6.1.1.5
3471981	YP_001456812.1	157159494	57075	28503	28997	+	EcHS_A0029	lspA	COG597	MU	3.4.23.36
3471982	YP_001456813.1	157159495	57075	29085	29534	+	EcHS_A0030	fkpB	COG1047	O	5.2.1.8
3471983	YP_001456814.1	157159496	57075	29536	30486	+	EcHS_A0031	ispH	COG761	IM	1.17.1.2
3471984	YP_001456815.1	157159497	57075	30552	31466	+	EcHS_A0032	rihC	COG1957	F	3.2.-.-
3471985	YP_001456816.1	157159498	57075	31633	32454	+	EcHS_A0033	dapB	COG289	E	1.3.1.26
3471986	YP_001456817.1	157159499	57075	32663	32496	-	EcHS_A0034	EcHS_A0034			
3471987	YP_001456818.1	157159500	57075	32910	34058	+	EcHS_A0035	carA	COG505	EF	6.3.5.5
3471988	YP_001456819.1	157159501	57075	34076	37297	+	EcHS_A0036	carB	COG458	EF	6.3.5.5
3471989	YP_001456820.1	157159502	57075	37523	37305	-	EcHS_A0037	EcHS_A0037			
3471990	YP_001456821.1	157159503	57075	37558	37953	+	EcHS_A0038	caiF			
3471991	YP_001456822.1	157159504	57075	38629	38039	-	EcHS_A0039	caiE	COG663	R	
