""	""	""	""	"howmuch"
"1"	14161	15480	16647	0.971223021582734
"2"	14166	20974	21744	1
"3"	3446137	63454	64962	1
"4"	14283	157246	160951	0.884297520661157
"5"	14310	191132	191977	1
"6"	14367	286004	286886	1
"7"	14371	291252	292010	1
"8"	3446140	302521	350143	1
"9"	14436	421001	422238	1
"10"	14480	487857	488578	1
"11"	14498	509256	510591	1
"12"	14510	519760	521054	1
"13"	14634	654680	661975	1
"14"	1936299	697337	718638	0.578947368421053
"15"	14703	719441	725928	1
"16"	14781	812435	820407	1
"17"	14793	824819	826017	1
"18"	14821	856465	858386	1
"19"	14824	858775	861873	1
"20"	1936385	1227153	1227929	1
"21"	15243	1360822	1362134	1
"22"	15259	1376829	1392032	1
"23"	1936456	1515738	1515980	1
"24"	15451	1577466	1578664	1
"25"	15465	1593325	1616384	1
"26"	15524	1649336	1650671	1
"27"	15526	1650721	1651943	1
"28"	3446177	1698442	1698669	1
"29"	15577	1710107	1713876	0.99852652259332
"30"	15668	1822974	1826040	0.761739130434783
"31"	15679	1838896	1841507	1
"32"	15682	1845068	1850275	0.917063870352717
"33"	15695	1850499	1854808	1
"34"	15815	1981607	1987598	0.718990120746433
"35"	16011	2184711	2185486	1
"36"	16046	2217967	2220272	1
"37"	16076	2243849	2244146	0.564383561643836
"38"	3446183	2244530	2245794	1
"39"	16102	2297375	2298573	1
"40"	1936652	2299640	2301875	1
"41"	1936656	2317332	2321944	0.671689644116704
"42"	3446191	2323977	2324135	1
"43"	16135	2344712	2345510	0.65
"44"	1936668	2365341	2384507	1
"45"	16155	2392633	2406187	0.736728837876614
"46"	16190	2447380	2448008	1
"47"	16196	2450362	2451622	1
"48"	16300	2569209	2570407	1
"49"	16439	2731068	2731577	0.619975639464068
"50"	16454	2748500	2758714	1
"51"	16499	2796485	2797648	0.967625899280576
"52"	16504	2804983	2809372	1
"53"	16541	2843818	2850607	1
"54"	16715	3059828	3081857	1
"55"	16738	3082012	3088225	1
"56"	11403154	3187194	3187285	0.967741935483871
"57"	11403158	3187360	3187439	0.612903225806452
"58"	11403162	3187500	3187579	0.580645161290323
"59"	16941	3307556	3308886	1
"60"	17013	3400253	3400871	1
"61"	17060	3462501	3463692	1
"62"	17120	3526835	3528170	1
"63"	17285	3710208	3717289	1
"64"	17291	3717811	3718525	0.633540372670807
"65"	17505	3937053	3937829	1
"66"	17549	3984943	3989471	0.797163995067818
"67"	17566	4006452	4007650	1
"68"	1937043	4040983	4053789	0.750935790382954
"69"	17654	4117810	4120582	0.670699249939511
"70"	17679	4154435	4155701	1
"71"	17683	4159338	4160154	0.64813343923749
"72"	17684	4160656	4162602	0.909599254426841
"73"	17689	4168117	4170405	1
"74"	17737	4221848	4226505	0.939866369710468
"75"	17849	4353196	4354774	0.916012084592145
"76"	17915	4436308	4448217	1
"77"	18039	4597836	4598311	1
"78"	18112	4695220	4701799	0.993541442411195
"79"	18185	4775189	4775789	0.831210191082803
"80"	18229	4816392	4817367	1
"81"	1937253	4838743	4839973	1
"82"	18295	4900510	4940271	1
"83"	18366	4984624	5000615	1
"84"	18406	5048974	5050304	0.998497370398197
